movie_title,genre,director,lead_actor,production_company,country_of_origin,language,rating,box_office_sales,budget,release_date,digital_release_date
"Weight of Water, The",Thriller,Elisabeth Fredy,Addison Rupke,Linklinks,Philippines,Tigrinya,5.6,9815723.85,96894.84,3/8/2015,7/11/2024
Deception,Drama|Film-Noir|Thriller,Merrile Baiyle,Sondra Staziker,Layo,China,"Ndebele, South",3.9,7240251.82,57605.72,10/22/2006,3/11/2025
"Secret of Moonacre, The",Adventure|Fantasy|Romance,Rowney Seakin,Herta Scanderet,Browsebug,Philippines,Pali,2.5,150186.51,83791.18,12/15/2010,3/12/2023
"2 Fast 2 Furious (Fast and the Furious 2, The)",Action|Crime|Thriller,Patty Timlin,Loreen Baxstar,Browseblab,Russia,Panjabi,5.4,4889560.01,68815.8,12/15/2006,1/25/2023
Who Wants to Kill Jessie? (Kdo chce zabít Jessii?),Comedy|Sci-Fi,Waylon Aim,Kipp Buxam,Talane,Vietnam,Hindi,0.2,6146333.16,21800.19,3/29/2000,10/5/2024
"Browning Version, The",Drama,Adlai Eltone,Mirabel McCrackan,Devpulse,Philippines,Panjabi,7.3,8673401.79,89002.31,5/28/2017,5/27/2021
I Do,Drama,Bev Cometto,Kathleen Balaison,Photospace,Philippines,Persian,7.2,9132988.81,61563.4,7/24/2009,2/3/2026
Osaka Elegy (Naniwa erejî),Drama,Barth Ikringill,Jamill McManamen,Plambee,China,Kirghiz,6.9,899474.18,48382.59,4/21/2026,8/23/2020
No Time for Nuts,Adventure|Animation|Comedy,Celle Little,Phineas Grayer,Zoomzone,Poland,Assamese,0.5,6938956.58,12487.14,9/6/2011,8/18/2020
The 21 Carat Snatch,Crime,Oren McElwee,Sid Radwell,Yakitri,China,Portuguese,6.3,3661547.46,39837.33,12/22/2024,10/11/2023
"Roaring Twenties, The",Crime|Drama|Thriller,Elton Stockle,Randall Bills,Trilia,China,Kuanyama,5.5,9670882.7,53064.05,12/30/2003,12/23/2022
"Evil of Frankenstein, The",Horror,Pooh Ingree,Shaylah Adkins,Divanoodle,Japan,Cornish,8.6,441202.66,16392.32,6/28/2023,6/14/2022
Slaughterhouse,Comedy|Horror,Eugenio Harverson,Dodie Jakab,Katz,Poland,Danish,9.7,8040836.85,87721.94,8/19/2018,1/19/2023
Slasher House,Horror,Buckie Macenzy,Dedie Piotrowski,Twitterlist,Malaysia,Sinhala,4.5,4647441.94,60162.45,7/3/2020,2/15/2023
Ordinary Miracles,Drama,Gardner Spanton,Irvine Florentine,Leexo,Ecuador,Herero,3.7,4964493.73,54914.04,9/9/2019,3/11/2023
Life Is Hot in Cracktown,Drama,Emalia Rivelon,Farica Nicol,Roodel,Nigeria,Afar,0.2,1915429.67,93187.43,1/25/2020,7/8/2023
"Day the Fish Came Out, The",Comedy|Sci-Fi,Glen Loalday,Aloysius Lipp,Browsebug,China,Samoan,2.3,6575677.61,35975.61,1/4/2008,9/19/2022
"Cremator, The (Spalovac mrtvol)",Comedy|Drama|Horror|Thriller,Latrena Wolfendell,Frankie Humfrey,Jaxnation,China,Bashkir,5.7,266903.33,67941.61,11/5/2010,7/3/2025
Lost Highway,Crime|Drama|Fantasy|Film-Noir|Mystery|Romance,Susette Archdeacon,Neilla Ashborn,Centizu,Japan,Church Slavic,7.9,1750922.2,67200.14,3/2/2009,3/11/2025
The Call of the Wild,Adventure|Children,Erskine Darque,Murdock Hullins,Tagcat,Israel,Russian,2.5,7731537.15,36942.77,3/9/2015,7/5/2024
"Year of the Hare, The (Jäniksen vuosi)",Drama|Romance,Tate Rickersey,Nonie Rapsey,Realpoint,China,Tibetan,5.3,1236947.69,26859.24,4/27/2017,3/6/2021
Camille Claudel 1915,Drama,Idalina Bromell,Montgomery Stang-Gjertsen,Photobug,Argentina,Interlingua (International Auxiliary Language Association),7.7,5899595.23,94869.95,9/30/2009,1/5/2023
"Sugarland Express, The",Drama,Constantia Martelet,Chaddy Caress,Centidel,Slovenia,"Sotho, Southern",1.6,6841328.31,26283.45,7/8/2004,12/16/2025
DuckTales: The Movie - Treasure of the Lost Lamp,Adventure|Animation|Children|Comedy|Fantasy,Deva Frears,Bart Hawke,Youfeed,China,Gujarati,8.2,5974332.3,65086.57,4/5/2026,1/29/2024
Deadly Blessing,Horror,Ann Crystal,Chrissy McNeish,Ntags,Ireland,Sundanese,7.8,1147319.99,99598.07,9/21/2003,1/4/2024
Buffalo '66 (a.k.a. Buffalo 66),Drama|Romance,Lilith Leek,Stafford Timby,Quaxo,China,Estonian,4.3,1856143.45,40574.19,12/31/2005,3/28/2021
Tangled,Animation|Children|Comedy|Fantasy|Musical|Romance|IMAX,Hillel Grishukhin,Aeriel Kitching,Edgeclub,China,Hebrew,1.7,5146445.06,25392.62,1/31/2008,7/8/2021
"Deadly Trap, The (La maison sous les arbres)",Drama|Mystery,Claresta Foch,Donnell Goodlip,Yadel,Serbia,Tajik,1.4,7144982.16,57202.9,7/4/2013,1/31/2022
Barnacle Bill,Comedy|Drama,Garvin Gherarducci,Kit Williamson,Teklist,China,Tatar,9.7,5554640.62,75319.76,3/8/2003,3/27/2023
"Kid & I, The",Comedy,Gottfried Immins,Fanni Woolsey,Yozio,Poland,Czech,2.1,2055384.06,50267.65,5/3/2020,10/9/2020
Invasion of Astro-Monster (Godzilla vs. Monster Zero) (Kaijû daisensô),Action|Adventure|Sci-Fi,Tammy Rawe,Rebeca Vail,Flipopia,Peru,Yiddish,2.5,1256287.19,19376.63,10/17/2007,7/26/2021
BlinkyTM,Horror|Sci-Fi,Dori Franken,Andre Leek,Voonder,Ecuador,Kanuri,4.0,4103149.88,92599.17,2/18/2000,4/1/2021
Two Bits,Drama,Edeline Jonk,Padraig Polly,Youtags,China,Ido,3.1,7190912.99,29139.96,9/24/2025,2/17/2026
Flash of Genius,Drama,Rodi Greenman,Armstrong Shorrock,Gigaclub,Honduras,Turkmen,8.9,6906477.49,28490.31,6/10/2002,3/5/2025
"Yellow Cab Man, The",Comedy|Drama|Romance,Moise Coulton,Christina Begley,Jayo,China,Ojibwa,3.2,9540034.13,81254.99,7/20/2004,12/12/2023
"Construction, The (En construcción)",Documentary,Ferdinanda Wannes,Madalyn Coneybeer,Twinder,Greece,Bislama,2.5,5562575.42,99028.6,10/1/2012,11/29/2021
Animal Crackers,Comedy|Musical,Sophey Dowe,Thibaut Rudkin,Dabfeed,Portugal,Kashmiri,2.7,2513486.47,46972.79,7/14/2011,6/11/2023
Varasto,Comedy|Drama,Kattie Blaylock,Guthrey Bazelle,Vinte,Japan,Mongolian,1.5,8661708.92,30337.9,12/23/2012,10/1/2022
"Lock, Stock & Two Smoking Barrels",Comedy|Crime|Thriller,Bobbi Orring,Lilith Scadden,Oozz,Indonesia,Bambara,5.6,6532468.31,43745.69,10/19/2022,3/15/2020
Age of Tomorrow,Action|Sci-Fi|Thriller,Leshia Guest,Rachelle Neasam,Dynazzy,Norway,Tamil,5.2,4681204.98,16353.78,12/30/2025,5/8/2023
Two Kilers (Kilerów 2-óch),Comedy|Crime,Adah Donwell,Shandie Munkley,Bluejam,Russia,Gujarati,9.6,7800979.04,20330.71,11/15/2010,6/12/2025
Break-in,Comedy,Addison Caldwall,Barrie Montford,Twitterbeat,Japan,Gaelic,0.8,2019176.78,35038.35,11/16/2015,1/30/2024
Apollo Zero,Documentary,Judon McAughtrie,Augustine Martusewicz,Kare,Serbia,Burmese,1.6,2653870.77,93205.0,9/25/2005,7/31/2021
"Kiss of the Vampire, The",Horror,Kimmie Sandhill,Billie Sargood,Agivu,France,Kannada,1.3,8994576.21,13122.72,10/5/2007,9/16/2025
"Defender, The",Action,Stefanie Dellit,Alice Lardeux,LiveZ,Peru,Chamorro,1.7,8132444.21,11579.01,10/29/2001,3/17/2026
Against the Dark,Action|Horror,Wakefield Burgwin,Coleman Pyer,Cogidoo,Ukraine,Finnish,3.8,2408301.49,84895.16,11/12/2000,2/2/2021
Neil Young Journeys,Documentary,Franky Bluschke,Lorens Lansberry,Edgeblab,China,Swedish,1.3,9406443.78,95815.31,5/22/2008,9/22/2020
Three Steps Above Heaven (Tres metros sobre el cielo),Drama|Romance,Gertrud Dawtre,Napoleon Joselovitch,Shuffletag,Greece,Gujarati,6.7,6696062.65,30141.01,4/3/2010,4/25/2024
"Freshman, The",Comedy,Row Pennington,Cosimo Riddington,Rhycero,Ireland,Western Frisian,6.8,8070531.09,13222.84,4/29/2015,10/22/2022
"Cold Light of Day, The",Drama|Thriller,Dene Thams,Lishe Load,Dynabox,Philippines,Chamorro,4.8,5718666.05,42603.48,6/12/2002,10/14/2025
Rawhead Rex,Horror|Thriller,Dwain Gosnold,Waite Subhan,Skynoodle,Dominican Republic,Turkish,3.4,8636663.2,27927.1,3/31/2007,10/17/2021
OSS 117 - Lost in Rio (OSS 117: Rio ne répond plus),Adventure|Comedy,Julian Eliyahu,Cybil Lowdham,Brightdog,Guatemala,Cree,4.5,1524140.91,89229.02,1/30/2011,9/18/2025
Year of the Jellyfish (L'année des méduses),Drama,Elisha Snowman,Ugo Devanny,Dynazzy,China,Bengali,4.7,5558726.73,28074.11,8/4/2018,9/19/2022
Zulu Dawn,Action|Drama|Thriller|War,Sanderson Gosker,Mitch Josipovic,Rhynoodle,Czech Republic,Breton,7.9,4586651.51,56961.55,9/8/2007,1/24/2022
Invasion of the Bee Girls,Horror|Mystery|Sci-Fi,Amalia Dowyer,Virgil Parcells,Livefish,Ukraine,Manx,6.8,4097150.53,77609.06,10/23/2020,3/7/2021
"Grace Lee Project, The",Documentary,Randolf Reims,Orbadiah Yurocjkin,Quatz,Angola,Zulu,0.0,2309044.14,66340.31,9/24/2008,11/15/2023
Night Court,Crime|Film-Noir|Thriller,Zachery Crocumbe,Hogan Sarton,Npath,Indonesia,Russian,9.1,5365196.4,80758.49,6/21/2016,11/11/2023
Once Upon a Time... When We Were Colored,Drama|Romance,Tine Filyushkin,Clemente Huck,Zoombeat,Sweden,Bislama,3.1,4383684.82,80729.55,8/28/2022,6/13/2024
Just Looking,Comedy,Iosep Bruhnsen,Melvin Kintzel,Voolith,Portugal,Burmese,8.4,4179194.94,63239.17,9/2/2000,7/22/2021
Left Luggage,Drama,Kasey Cheesman,Gizela Stanners,Jayo,United States,Haitian,5.2,398825.29,98966.61,3/12/2005,11/8/2021
Christiane F. (a.k.a. We Children from Bahnhof Zoo) (Christiane F. - Wir Kinder vom Bahnhof Zoo),Drama,Hendrik Gresty,Ashlin Southerill,Yodel,United States,Navajo,3.5,5126576.56,47301.42,12/9/2008,10/22/2020
Oscar and Lucinda (a.k.a. Oscar & Lucinda),Drama|Romance,Danie Goldine,Rudolf Cattellion,Meevee,Indonesia,Quechua,0.2,9841152.44,29194.35,11/30/2012,6/26/2021
Peter's Friends,Comedy|Drama,Lexis Hinken,Dermot Featherstone,Feedfish,Japan,Galician,6.6,4615882.66,91801.65,1/9/2017,1/1/2020
Operation Petticoat,Action|Comedy|Romance|War,Koenraad Chichgar,Coleen Legg,Browsedrive,Russia,Xhosa,9.3,5725214.21,36361.73,1/15/2014,11/22/2024
Ride the Divide,Adventure|Documentary,Karly Skelbeck,Abie Mc Coughan,Aibox,Portugal,Indonesian,2.0,5572075.89,71226.28,11/19/2017,7/24/2022
Tapestries of Hope,Documentary,Gaye Puttan,Bunnie Jillions,Realblab,Indonesia,Breton,2.2,3890205.32,61758.21,11/2/2000,11/24/2021
Casablanca,Drama|Romance,Dahlia Wick,Margarete Constable,Oba,Afghanistan,Tswana,9.4,9224825.79,18553.56,10/16/2017,3/6/2023
Car Bonus (Autobonus),Documentary,Aundrea Jewster,Caye Thews,Skivee,Poland,Uighur,2.5,3069446.17,93195.74,12/10/2017,11/18/2021
Dirty Deeds,Comedy,Arleen MacCague,Elliott Copner,Tagopia,Russia,Breton,2.8,5168825.89,94555.14,1/30/2001,8/23/2022
Bonfire of the Vanities,Comedy|Crime|Drama,Bjorn Rois,Boigie Sherlaw,Yata,Russia,Abkhazian,3.1,9063254.16,56978.52,9/23/2015,8/26/2025
Where the Sidewalk Ends,Crime|Drama|Film-Noir,Gayelord Lorraway,Erica Janeway,Oozz,Indonesia,Vietnamese,2.3,4356127.97,70020.76,12/19/2024,3/6/2021
Going All the Way,Comedy|Drama,Ida Izakoff,Sherye Marchetti,Yakijo,Tanzania,Kazakh,6.9,3993359.9,97038.68,5/6/2015,7/27/2020
God Is the Bigger Elvis,Documentary,Dietrich Brereton,Katey Asbury,Trilia,China,Lithuanian,3.8,3994315.82,11485.66,6/9/2010,9/18/2023
Louis Theroux: The Most Hated Family in America in Crisis,Documentary,Odell Spaducci,Lavinia Sparwell,Blogpad,Canada,Italian,4.7,6691482.59,89855.04,4/11/2026,5/13/2021
Laws of Attraction,Comedy|Romance,Welbie Beckett,Danila Sweetnam,Centimia,Papua New Guinea,Ndonga,8.0,6290016.57,21584.31,6/30/2017,2/16/2026
Dead Men Tell,Comedy|Crime|Drama|Mystery|Thriller,Piotr Crumley,Flo Lorrie,Wikivu,Niger,Northern Sami,5.3,9306702.8,65309.95,5/15/2021,4/15/2022
Joysticks,Comedy,Charlton Yakov,Doris Seiler,Yabox,Honduras,Tagalog,8.5,8114830.91,58079.45,4/13/2021,3/12/2024
Teenage Mutant Ninja Turtles III,Action|Adventure|Children|Comedy|Fantasy,Sileas Colecrough,Wilbert Rivelon,Skippad,China,Fulah,2.4,2386271.16,54809.4,7/27/2025,1/13/2021
Cockfighter,Drama,Flore D'Ambrogio,Lissy Drezzer,Flashdog,Brazil,Tsonga,5.9,8653314.27,95793.54,9/9/2009,2/6/2023
When a Stranger Calls,Horror|Thriller,Abbott Tixall,Enrika Rosle,Brainsphere,Portugal,Ewe,8.0,9703338.23,84045.31,4/30/2020,4/9/2020
The Missionaries,Comedy|Romance,Samara Remon,Pearline Gammel,Fivebridge,Tanzania,Ukrainian,6.1,8175689.5,92729.02,7/12/2000,5/14/2024
Bling: A Planet Rock,Documentary,Enrica Barkhouse,Emylee Turpin,Omba,Philippines,Burmese,3.5,9315759.23,17969.04,10/9/2005,2/13/2020
Highlander II: The Quickening,Action|Sci-Fi,Rhianon Lillistone,Tarrah O'Longain,Dazzlesphere,Russia,Interlingue,5.9,6987386.12,97856.59,1/31/2019,8/21/2024
Joy of Sex,Comedy|Romance,Marni Staveley,Rosina Davidow,Zoomcast,Portugal,Chechen,9.9,8888814.6,72656.78,9/3/2013,5/17/2023
Cellular,Action|Crime|Drama|Mystery|Thriller,Lishe Lepere,Ermanno Harmon,InnoZ,Greece,Rundi,7.8,2217313.32,49866.62,8/11/2006,2/7/2026
Blood for Dracula (Andy Warhol's Dracula),Horror,Arliene Clawe,Janna Hasell,Linkbuzz,Nigeria,Urdu,1.7,812802.29,54208.25,1/5/2016,6/14/2024
Swamp Thing,Horror|Sci-Fi,Drusi Davidzon,Allix Augur,Wordpedia,Canada,Chuvash,7.9,8504043.88,68779.57,1/29/2006,5/21/2020
Amour,Drama|Romance,Dyna MacNeilly,Faye Risbie,Feedbug,Portugal,Divehi,1.3,158624.13,63172.67,3/17/2017,11/24/2020
Kidnapping Mr. Heineken,Action|Crime|Drama|Thriller,Olin Iggalden,Danie Osichev,Realbridge,China,Polish,5.1,141787.19,57895.95,7/31/2003,7/14/2024
"His Secret Life (a.k.a. Ignorant Fairies, The) (Fate ignoranti, Le)",Drama|Romance,Sheilah Trays,Elmo Woolner,Flashpoint,Japan,Irish,6.1,2763170.54,50766.84,1/29/2016,11/8/2025
"Incredible Melting Man, The",Horror|Sci-Fi,Drusilla Mallatratt,Malinde Measures,Skivee,Russia,Fijian,2.4,3233257.63,53622.42,12/30/2021,2/14/2023
Inuyasha the Movie: The Castle Beyond the Looking Glass,Action|Animation|Comedy|Romance,Kellyann Robichon,Doralynne Fahy,Jatri,Afghanistan,Corsican,3.9,1441480.87,24086.63,4/5/2026,12/6/2025
Savannah Smiles,Comedy,Carrol Milnthorpe,Fernande Keggin,Reallinks,China,Malayalam,0.7,8319416.93,66281.42,6/2/2002,5/3/2022
Asterix & Obelix vs. Caesar (Astérix et Obélix contre César),Adventure|Children|Comedy|Fantasy,Ariadne Benedyktowicz,Bobbe Spiller,Talane,Costa Rica,Lithuanian,2.8,4190385.54,91993.95,12/21/2014,1/24/2021
Killers,Action|Crime|Drama|Thriller,Emelen Matherson,Felicle Massey,Chatterpoint,Russia,Malay,9.9,4637297.08,70125.71,9/1/2022,10/11/2025
Sorority House Massacre II,Horror,Shani Donne,Starla Elders,Quinu,Canada,"Greek, Modern (1453-)",8.8,6644800.23,10421.62,4/6/2001,10/27/2024
The Rebel,Action|Crime|Drama|Thriller,Peri Elcoat,Gratiana Batkin,Kwideo,Myanmar,Portuguese,9.2,5261051.91,18119.0,3/28/2022,4/18/2025
Man of the West,Western,Marya Carnalan,Anselma Agirre,Talane,Poland,Tigrinya,9.4,9058615.77,66410.45,2/25/2026,3/14/2023
"Beach, The",Adventure|Drama,Brandy Gerren,Lynnette Darey,Zoonder,Thailand,Navajo,8.0,2283080.08,65736.27,12/13/2016,9/5/2022
Little Women,Drama,Gearalt Vynall,Rhetta Hartley,Agimba,New Zealand,Gaelic,7.0,6994744.31,93866.22,5/16/2002,3/1/2021
I'm Not Rappaport,Comedy,Sella Hutten,Boote Sandbrook,Bubblemix,China,Uzbek,8.5,344883.37,62406.79,6/4/2023,11/20/2024
Matilda,Children|Comedy|Fantasy,Bekki Wolffers,Guendolen Farbrace,Meejo,South Africa,Swati,2.4,3099698.76,12741.26,3/7/2010,2/14/2024
Gable: The King Remembered,Documentary,Tremaine Trubshawe,Cart Board,Meezzy,Chile,Tsonga,0.3,9398499.44,30097.14,11/24/2016,4/7/2024
Dark Horse,Drama,Aila Clousley,Devonne Kiely,Riffpedia,Indonesia,"Greek, Modern (1453-)",5.6,5413600.58,70647.19,5/27/2020,1/10/2023
G.I. Joe: The Movie,Action|Adventure|Animation|Children|Fantasy|Sci-Fi,Chance Whistan,Hermia Brill,Topiclounge,Poland,"Sotho, Southern",7.5,9037016.06,26024.75,12/18/2006,11/17/2023
Night Train,Drama|Mystery|Thriller,Elbertina Mucklestone,Pedro Foystone,Midel,Philippines,Macedonian,5.2,5362086.05,64320.56,11/7/2023,2/22/2024
I Am Divine,Documentary,Lenka Scafe,Friedrich Shyre,Meevee,Canada,Pali,1.2,6855132.13,97081.88,4/2/2016,7/7/2025
Tall Story,Comedy,Kariotta Littleover,Goldie Branche,Plambee,Botswana,Walloon,8.8,9853424.16,80543.68,1/27/2003,8/25/2024
Ten North Frederick,Drama|Romance,Janenna Louthe,Phillie Brunke,Innotype,Philippines,"Ndebele, South",4.6,9960655.54,20329.37,4/16/2017,8/31/2021
"Harvest: 3,000 Years (Mirt Sost Shi Amit)",Drama,Falkner Coverlyn,Lovell Laphorn,Livepath,Saudi Arabia,Marathi,7.1,3410918.69,87654.31,7/30/2022,9/9/2022
Täynnä Tarmoa,Documentary,Mireille Macbane,Fergus Oak,InnoZ,China,Interlingua (International Auxiliary Language Association),6.2,4332702.95,58378.42,3/15/2025,12/27/2023
Undertaking Betty (Plots with a View),Comedy|Romance,Belle Deware,Gill Gierardi,Zoombeat,Saint Vincent and the Grenadines,Polish,3.5,8672063.34,86695.12,10/9/2023,9/13/2022
"Razor's Edge, The",Drama,Jacinda Ninotti,Allistir Havock,Eare,China,Ukrainian,3.9,7543862.47,71876.81,8/20/2005,5/20/2021
Lola,Drama,Kale Grimditch,Carmela Markey,Photofeed,Brazil,Thai,0.7,6715259.95,33794.38,7/9/2007,12/26/2024
"Day The Earth Froze, The (Sampo)",Adventure|Fantasy,Talia Simson,Alikee Tonnesen,Voolith,Thailand,Polish,7.5,1770820.46,45955.85,7/11/2006,11/9/2021
House of Sand (Casa de Areia),Drama,Mose Ruhben,Harley Okenden,Babbleset,Switzerland,Urdu,1.7,4915886.37,20387.06,12/1/2003,1/20/2026
"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die)",Documentary,Hana Jatczak,Vidovic Emsden,Voomm,Portugal,Burmese,5.8,8146348.88,12861.18,11/8/2004,2/11/2020
Dolan's Cadillac,Crime|Thriller,Ruthie Arber,Darb Spragge,Tagchat,Brazil,Bengali,3.3,8788927.56,33868.21,11/15/2010,5/17/2021
Divorce Iranian Style,Documentary,Valentine McEvoy,Inna Alleyn,Divanoodle,Czech Republic,Urdu,9.4,9114302.09,79208.28,4/19/2002,7/19/2022
Sergio,Documentary,Thornton Dobkin,Ethelyn Sandyford,Babbleset,United States,Nauru,2.4,6595664.95,11969.24,4/5/2026,4/11/2022
Restaurant,Drama,Kristy Felton,Jannelle Plowright,Meezzy,Ukraine,Tswana,7.3,4343798.86,88794.47,12/9/2010,9/9/2020
Gorillas in the Mist,Drama,Way Defont,Blisse Turone,Jetpulse,China,Bulgarian,6.5,5694708.85,40533.64,5/19/2017,8/5/2020
"Single Girl, A (Fille seule, La)",Drama,Stephannie Gabby,Emilie Brim,Tagcat,China,Tibetan,4.5,2137733.23,84606.82,9/27/2025,9/13/2024
Against the Current,Drama,Tannie Setchfield,Melly Wallenger,Realblab,Haiti,Inuktitut,6.6,8844399.22,44773.42,9/6/2023,11/19/2024
Before the Rains,Drama|Romance|Thriller,Shanie Delph,Othelia Spittall,Edgewire,China,Breton,3.7,2538751.05,61858.79,8/16/2004,3/9/2025
And Everything Is Going Fine,Documentary,Catherine Leslie,Evita Tezure,Plambee,Russia,Xhosa,6.6,445295.76,63865.34,1/4/2000,12/15/2025
Marathon Man,Crime|Drama|Thriller,Paddie Coey,Carey Gomme,Kwimbee,Argentina,Persian,1.7,4992328.04,42909.48,1/3/2013,3/11/2025
King of Kings,Drama,Barnard Le land,Kelbee Durtnel,Fivechat,Russia,Shona,6.2,6055330.01,36387.66,9/21/2014,10/27/2020
Vitus,Drama,Bronnie Cochrane,Tressa Hamerton,Jazzy,Poland,Swahili,2.3,7524655.49,14337.95,12/5/2018,9/13/2025
"Open Road, The",Comedy|Drama,Mervin Menear,Taylor Pohlke,Feedfish,Greece,Xhosa,0.6,6470419.79,98273.53,6/17/2021,3/9/2021
Brick,Crime|Drama|Film-Noir|Mystery,Menard Kubyszek,Cozmo Haisell,Feednation,Indonesia,Marathi,8.9,6243294.71,96415.93,5/12/2005,6/1/2024
"Dossier 51 (Dossier 51, Le)",Crime|Drama,Blancha McCrisken,Meredithe Orgel,Skivee,China,Tamil,1.1,5412261.95,43467.43,3/30/2014,4/15/2023
Reign of Assassins,Action,Marjory Lyes,Angy Kaplin,Brainbox,Armenia,Faroese,2.7,2333536.58,59180.05,6/19/2014,10/23/2020
Backcountry,Drama|Horror|Thriller,Dareen Lamperd,Bev Cockerill,Twitterlist,Sweden,Breton,1.0,1002315.03,28017.15,9/26/2025,8/25/2023
It Follows,Horror,Auberta Mapis,Law Lalevee,Dabtype,France,Tagalog,2.0,6314500.2,89270.55,3/6/2018,9/20/2022
Frantic,Crime|Mystery|Thriller,Judye Croxley,Gennifer Kamen,Quinu,Russia,Indonesian,9.5,2264833.2,46817.38,5/20/2020,1/31/2023
"Love Letter, The",Comedy|Romance,Giralda Schulze,Lyndsay McManus,Kwideo,Philippines,Tajik,3.6,2744762.6,38553.16,1/20/2013,2/14/2024
Good,Drama|War,Phylis Schafer,Lennie Staning,Centidel,Poland,Uzbek,2.6,9996420.96,58638.17,5/21/2015,6/6/2024
"Desperadoes, The",Romance|Western,Wendel Danslow,Delaney Churm,Shuffletag,Dominican Republic,Xhosa,2.3,1881640.31,42173.18,12/11/2021,6/18/2021
End of the Century: The Story of the Ramones,Documentary|Musical,Bealle Stollenwerck,Maurita Mitskevich,Edgepulse,Portugal,Kazakh,1.4,9548515.33,14935.05,3/15/2026,8/13/2021
First Knight,Action|Drama|Romance,Tara Livezey,Tess Lambdean,Kwilith,Vietnam,Malayalam,6.1,3552111.94,44188.5,4/8/2015,1/13/2025
"Wood, The",Drama,Dareen McIvor,Phedra Edeler,Vidoo,Serbia,Hungarian,3.9,1460118.61,78498.15,11/30/2015,10/4/2020
The Mark of the Angels - Miserere,Thriller,Caty Keyes,Fidel Stanes,Thoughtbeat,Colombia,Swahili,3.3,7208283.19,47780.48,11/10/2004,9/18/2025
Mummies: Secrets of the Pharaohs (a.k.a. Mummies 3D),Documentary|IMAX,Clara Pantridge,Cort Renals,Tazzy,Poland,Ewe,0.5,4514804.5,39025.3,2/4/2002,9/27/2025
Nosferatu the Vampyre (Nosferatu: Phantom der Nacht),Horror,Chicky Mockes,Miran Thurling,Yombu,Philippines,Corsican,7.0,1314387.14,48388.89,4/30/2017,5/7/2021
"Murder of Crows, A",Action|Crime|Thriller,Pebrook MacCart,Wayland Jorg,Feedfire,Indonesia,Marathi,3.7,9953279.13,87982.89,8/18/2000,10/19/2025
Wieners,Comedy,Pammy Sainteau,Jacenta Kunkler,Jayo,Madagascar,Romansh,9.0,5369259.98,50652.65,5/25/2018,12/3/2025
Sex Positive,Documentary,Meaghan Tonnesen,Damaris Nesbit,Teklist,Indonesia,Urdu,8.5,4162763.7,97575.43,3/17/2011,8/16/2021
The Borderlands,Horror|Mystery,Amalita Mulheron,Martino Wondraschek,Kimia,Russia,Esperanto,6.2,7267519.38,84542.74,1/12/2006,8/7/2022
Seoul Searching,Comedy|Drama,Corbett Beldam,Abba Bidgood,Gabtune,Belize,Czech,5.3,663296.6,60665.53,11/1/2016,3/23/2025
Pekka ja Pätkä lumimiehen jäljillä,Comedy,Evie Blasetti,Iain Jahnke,Jaloo,Laos,Turkmen,3.8,723848.13,78151.44,8/15/2013,2/4/2022
Saint Ralph,Comedy|Drama,Hendrick Fairest,Cherice Hannis,Plambee,Argentina,Kinyarwanda,1.9,2777846.88,97748.08,7/14/2004,4/17/2023
Sleepers,Thriller,Kore Madders,Jarad Berfoot,Blognation,Croatia,Kuanyama,1.6,3262717.17,19513.41,5/29/2016,6/16/2023
Eloise at the Plaza,Children|Comedy|Mystery,Evanne Bertome,Lazaro Braunter,Kwideo,China,Breton,0.1,9221219.58,50596.61,12/25/2010,5/11/2021
Murder à la Mod,Comedy|Crime|Mystery,Lorraine Hamal,Lelia Thickett,Gabvine,Czech Republic,Vietnamese,5.7,8769012.94,95817.21,3/16/2020,7/28/2020
Shirley Valentine,Comedy|Romance,Linnet Shoulder,Alvina McAulay,Jatri,Czech Republic,"Bokmål, Norwegian",6.7,9069354.29,36011.27,1/10/2007,4/21/2020
Mary and Max,Animation|Comedy|Drama,Tandy Kipping,Mattie Gwynn,Photofeed,China,Korean,9.2,1194729.3,27461.28,12/29/2022,3/20/2024
Summer in February,Drama|Romance,Edward Eaklee,Leslie Valero,Edgewire,China,Javanese,6.7,6491530.59,89140.07,3/15/2005,1/31/2021
Hitman's Run,Action,Reina Camp,Clyve Frisby,Yoveo,Brazil,Oromo,8.6,4580757.56,66869.52,8/1/2015,1/10/2026
"Frisco Kid, The",Comedy|Western,Carlen Seebert,Sawyere Sibyllina,Skinte,Nigeria,Macedonian,9.3,3222935.71,76604.33,8/12/2006,11/20/2020
Futureworld,Sci-Fi|Thriller,Ingunna Dallosso,Nixie Aime,Centizu,Poland,Bulgarian,5.3,6065405.69,34643.04,7/13/2014,10/19/2021
"Cherry Orchard, The (Sakura no sono)",Drama,Madella Mundall,Sheffy Betancourt,Skibox,United States,Turkish,0.9,1484284.03,98616.94,8/31/2001,11/27/2021
Explorers,Adventure|Children|Sci-Fi,Ignazio Walczak,Matilda Salvidge,Tagchat,Guatemala,Inupiaq,4.0,6179537.15,30728.31,9/29/2011,3/11/2026
A Merry Friggin' Christmas,Comedy,Cherise Garcia,Coralyn Silcox,Voonder,Indonesia,Vietnamese,1.2,6457016.53,30758.48,8/26/2004,3/31/2024
