movie_title,genre,release_date,director,lead_actor,box_office_sales,rating,production_company,country_of_origin,language,budget,sequel
Spinout,Drama,8/12/2005,Justinn Wendover,Tiphani Oxtoby,8018803.49,1.1,Buzzdog,Poland,Breton,880980.01,FALSE
Graveyard Shift (Stephen King's Graveyard Shift),Horror,7/20/2016,Millie Balleine,Kalvin Connor,4843028.86,6,Skimia,France,Georgian,169289.4,FALSE
Panic Button,Drama,8/26/2012,Yolanthe Baxstair,Sofie Nutbean,1901435.12,3.9,Kazu,Serbia,Kirghiz,807871.84,TRUE
Shoot the Piano Player (Tirez sur le pianiste),Comedy,9/2/2000,Irita Charles,Justinian Clashe,275507.97,0.9,Snaptags,China,Divehi,27837.33,FALSE
"Heartbreak Kid, The",Comedy,1/19/2018,Filbert Monteath,Craig Lince,2745497.39,6.3,Yamia,Faroe Islands,Wolof,179945.5,TRUE
"Story of Floating Weeds, A (Ukikusa monogatari)",Horror,10/12/2018,Tan Vanin,Ravi Butte,1839932.55,7.2,Twimm,Czech Republic,Swedish,183128.68,FALSE
Jumping the Broom,Horror,5/27/2010,Darin Foley,Augusta Patemore,9042759.63,2.9,Mynte,Indonesia,Turkish,644043.49,FALSE
The Gamers,Comedy,3/11/2017,Brendon Corssen,Nonnah MacCourt,1756683.39,5.5,Brightdog,United States,Ukrainian,789727.22,TRUE
Home Sweet Hell,Drama,9/5/2019,Saw Blackborough,Jania Yushin,7024446.87,9.2,Browsetype,Indonesia,Lithuanian,129552.95,FALSE
Izo,Comedy,4/17/2010,Evaleen Mitchel,Brandyn Waldie,5909770.4,3.6,Yakijo,Malaysia,Dzongkha,681303.22,FALSE
Devil's Playground,Action,5/29/2005,Lurline McCutcheon,Webb Jeroch,8845383.59,3.3,Aibox,Philippines,Telugu,402033.24,TRUE
Katsastus,Drama,9/1/2008,Madalyn Pryor,Carola Wiggington,6525283.36,5.8,DabZ,Brazil,Telugu,595215.63,TRUE
Every Girl Should Be Married,Action,11/3/2009,Creighton Gheeorghie,Josepha Lottrington,6378009.77,2.7,Photolist,Russia,Corsican,976531.66,TRUE
"Driver, The",Action,9/18/2010,Coretta Daniells,Minnnie Biddy,6428231.6,7.5,Kayveo,China,Spanish,513432.39,FALSE
Jill the Ripper (Jill Rips),Horror,3/1/2016,Dulcia Sackler,Ronald Scuffham,825526.13,9.1,Eayo,Indonesia,"Bokmål, Norwegian",783751.44,FALSE
Judy Berlin,Horror,10/20/2015,Illa Gurrado,Myrle Benwell,9008236.9,1.4,Meembee,Brazil,Tatar,809650.14,TRUE
Bewitched (Alter Ego),Horror,3/4/2012,Isadore Mosco,Raff Whylie,4779806.74,3.7,Miboo,Venezuela,Marshallese,41796.22,FALSE
Kenny Begins,Horror,7/26/2019,Gilli Armfield,Julian Torpie,8931528.79,7.2,Zava,United States,Wolof,898252.29,TRUE
3:10 to Yuma,Action,11/28/2010,Demeter Bratcher,Jacintha Blackmoor,5722309.07,3.4,Yabox,Brazil,Guarani,557719.04,TRUE
"Man Who Couldn't Say No, The (Mies joka ei osannut sanoa EI)",Action,4/2/2008,Renee Seignior,Theadora Bontoft,5967704.06,8.6,Skibox,Bosnia and Herzegovina,Avaric,413306.41,TRUE
Julia,Sci-Fi,9/14/2020,Templeton Crowcher,Raina Balls,9754921.65,4.4,Thoughtmix,Vietnam,Oromo,881081.31,FALSE
Relative Fear,Sci-Fi,2/16/2011,Elsbeth Kittel,Townsend Tincey,4036971.87,8.7,Kwimbee,South Africa,Guarani,371575.6,TRUE
Dhoom,Comedy,5/19/2011,Dode MacCombe,Chariot Foskew,3434409.93,9.1,Ntag,Indonesia,Marathi,927968.73,FALSE
Springsteen & I,Horror,10/26/2012,Oneida Heater,Karry Dolder,2784307.73,7.9,Skilith,Argentina,Nepali,806853.07,FALSE
El asombroso mundo de Borjamari y Pocholo,Horror,6/6/2013,Osborne Barlace,Sephira Panchin,4422925.17,6.1,Bluejam,Indonesia,"Ndebele, North",397461.32,TRUE
Chloe,Action,7/15/2006,Arleyne Cotgrove,Josephina Will,3841781.96,6.9,Topicstorm,Haiti,Croatian,132712.98,FALSE
Wonder Bar,Drama,3/5/2020,Salome Stamper,Tobit Lummus,8882968.88,5.8,Rhycero,Greece,Kannada,258427.28,TRUE
"Wrong Man, The",Drama,3/23/2007,Oby Bresner,Orazio Ollett,2203394.7,3.8,Divanoodle,China,Tibetan,696703.39,TRUE
Made in Heaven,Action,6/24/2001,Isaac Pakes,Elbertina Fodden,9219532.13,1.9,Skiptube,France,Slovenian,574482.06,TRUE
Southland Tales,Action,2/10/2007,Ferrell Zannelli,Joletta Bemment,843809.92,4.4,Fivebridge,China,Wolof,30499.84,TRUE
Team America: World Police,Comedy,6/28/2014,Yale Klesse,Jobie Kramer,2284834.16,8.5,Omba,China,Luxembourgish,217916.1,TRUE
Dominick and Eugene,Drama,3/5/2014,Marta Kordova,Joli Stapells,3414769.89,4.2,Eadel,Vietnam,Assamese,90887.84,FALSE
Bugs Bunny's 3rd Movie: 1001 Rabbit Tales,Drama,8/26/2014,Tony Agget,Bowie Riolfi,9735048.89,4.4,Tekfly,Indonesia,Norwegian Nynorsk,85417.79,FALSE
"Truth About Emanuel, The",Action,12/20/2004,Sheilah Loddon,Kile Monni,8876573.18,2.9,Kwimbee,Belgium,Chechen,293697.77,TRUE
Elvis: That's the Way It Is,Comedy,10/30/2018,Clemmie Varker,Justine Whyffen,9114284.19,0.9,Kare,Yemen,Estonian,329373.19,TRUE
"Loss of a Teardrop Diamond, The",Comedy,9/23/2015,Pattin Spurier,Larry Crouch,279963.91,6.7,Topicshots,China,Burmese,86935.16,TRUE
"Big Night, The",Sci-Fi,4/4/2006,Chadwick Cronchey,Lane Krauss,7724379.22,8.5,Leenti,Poland,Chichewa,919937.67,TRUE
Coma,Drama,12/13/2020,Bertine West,Sonni MacGibbon,7721892.23,1.3,Skyba,United States,Divehi,973922.55,FALSE
Pearl Jam Twenty,Sci-Fi,10/6/2017,Conway Else,Hilde Blackborow,5636780.82,9.4,Quimba,Finland,Aymara,934169.6,FALSE
JFK,Action,5/10/2017,Adrianna Vyvyan,Adara Rimer,2519586.85,3.5,Minyx,Mongolia,Icelandic,772981.24,FALSE
Royal Wedding,Horror,6/26/2010,Etty Farlam,Jemmy Hodcroft,3696814.91,1.3,Rhyloo,China,Chinese,434772.37,TRUE
Aladdin,Comedy,6/15/2011,Heidi Readwing,Huberto Gowrich,9228699.96,8,Zoomzone,Indonesia,German,499168.4,TRUE
Citizen X,Action,8/29/2017,Hugh Withinshaw,Sebastian Brittles,2292410.11,2.7,Edgetag,Peru,Maori,627517.6,FALSE
"War of the Worlds, The",Horror,5/11/2010,Frederick Worsnip,Chloris Le Grove,4093852.85,3.2,Wordpedia,Russia,Occitan (post 1500),221916.16,TRUE
"Tür, Die (Door, The)",Drama,3/31/2003,Richardo Tootin,Adey Puddifer,2980255.48,2.2,Photojam,China,Aymara,757588.74,TRUE
"French Minister, The (Quai d'Orsay)",Action,7/26/2001,Ansley Roncelli,Fidelity Geratasch,6518398.38,3.6,Talane,Philippines,Nepali,718971.59,TRUE
Prom,Action,6/25/2012,Rozanne Leport,Blanch Geockle,4355810.41,0,Pixope,Vietnam,Slovenian,674118.68,TRUE
Gore Vidal: The United States of Amnesia,Action,7/7/2015,Tiebout Shakeshaft,Cortney Hallet,2351486.96,3.4,Zava,France,Oriya,56935.34,TRUE
"Daytrippers, The",Action,8/6/2003,Humphrey Macklam,Micheline Orkney,7975325.94,4.4,Fivechat,China,Albanian,513517.95,TRUE
Warriors of Virtue,Action,1/17/2018,Amaleta Emblow,Wright Cornil,1248638.21,6.5,Jaxworks,China,Afrikaans,655545.61,TRUE
Metallica: Through the Never,Comedy,9/1/2003,Heidie McCuaig,Pauletta Burbage,751397.8,1,Wikizz,Tuvalu,Zhuang,941573.61,FALSE
Training Day,Sci-Fi,12/8/2014,Cecilio Kegg,Cordell Papachristophorou,5775498.09,9.6,Skibox,Russia,Tsonga,33465.85,FALSE
Asphalt,Sci-Fi,9/17/2007,Tildy Berthomier,Sherry Rickard,494567.57,8.2,Topiclounge,Russia,Northern Sami,96108.23,TRUE
Cannibal Women in the Avocado Jungle of Death,Sci-Fi,12/27/2001,Norry McFaell,Fania Petr,9897139.43,9.9,Ainyx,Tanzania,Assamese,398914.05,FALSE
Casual Sex?,Comedy,9/30/2013,Kylie Etheridge,Ax Mabson,8063252.59,7.1,Tambee,Uruguay,Tatar,123040.74,TRUE
Always Leave Them Laughing,Drama,3/4/2007,Bank Algar,Bradley Smallman,3361573.57,2.6,Kazu,Sweden,Ndonga,27336.71,TRUE
Aftermath,Sci-Fi,12/12/2017,Debra Kewley,Vonni Rushbrooke,4053867.49,2.7,Linkbuzz,Philippines,Swati,287714.6,TRUE
"Town is Quiet, The (Ville est tranquille, La)",Comedy,4/4/2003,Bevan Cecere,Grayce Hicks,7381450.26,2.2,Zoonoodle,Panama,Rundi,853032.83,TRUE
"Mexican, The",Comedy,10/3/2007,Deana Vickers,Davis Sawter,1343833.17,4.4,Topicshots,Poland,Croatian,363914.06,FALSE
Kevin Hart: I'm a Grown Little Man,Horror,2/14/2021,Karry Drejer,Gerianna Buey,8291220.28,2,Meeveo,Nigeria,Tahitian,745834.01,FALSE
Sugar Cane Alley (Rue cases nègres),Action,6/14/2012,Ramona Wadeling,Wilmette Dils,8500694.83,7.8,Quimba,Italy,Tonga (Tonga Islands),151086.69,TRUE
Seoul Searching,Horror,4/23/2000,Renelle De Simoni,Bevon Tripp,8908459.55,7.3,Linklinks,Thailand,Turkmen,696029.34,TRUE
Wodehouse In Exile,Comedy,1/19/2009,Elenore Spaughton,Daryl Cordelle,5803403.02,6.5,Rhybox,Indonesia,Georgian,161887.96,FALSE
Admiral Yamamoto,Comedy,5/30/2017,Armin Cockin,Carly Abbiss,6744693.37,0.2,Zoonoodle,Palestinian Territory,Polish,698048.75,TRUE
Bowery at Midnight,Sci-Fi,9/16/2007,Dunn Buzza,Hillie Grunwald,2426858.67,7.2,Reallinks,Chile,Central Khmer,229162.76,TRUE
"Delicate Balance, A",Horror,10/8/2015,Ly Doody,Gabrielle Bazley,5423497.65,7.6,Edgetag,China,Afar,422042.51,FALSE
Killjoy Goes to Hell,Sci-Fi,6/15/2008,Amandy Tattersfield,Dodi Rees,7839906.88,5.9,Shufflebeat,China,Telugu,518307.89,TRUE
Diminished Capacity,Drama,5/21/2021,Tedda Riggulsford,Merell Ivic,9971228.55,7.1,Skajo,China,Sichuan Yi,455281.53,TRUE
"Texas Chainsaw Massacre, The",Action,8/7/2012,Frannie Barrott,Dewain Priditt,1057609.65,6.8,Gigaclub,Dominican Republic,Central Khmer,703855.09,FALSE
Band of Brothers,Action,5/19/2002,Falito Longhorne,Nertie Burdikin,8914470.71,1.4,Devpoint,Brazil,Chechen,390065.01,FALSE
"Theory of Flight, The",Action,8/17/2012,Kathryne Reese,Mersey Bolderoe,9438681.25,7,Divape,China,Yiddish,730882.94,FALSE
Favela Rising,Sci-Fi,8/31/2018,Hugo Jenson,Zorah Backshill,4446719.96,8.7,Yoveo,Poland,Turkish,142872.73,FALSE
Earth Entranced (Terra em Transe),Comedy,4/16/2007,Jenelle Couth,Marylynne Parken,5071057.25,7.8,Kimia,Nigeria,Latin,73139.89,FALSE
Middle of Nowhere,Drama,6/11/2008,Ashton Niess,Cecily Longman,9510136.03,9.3,Buzzbean,France,Thai,349863.08,FALSE
In the Realm of the Senses (Ai no corrida),Comedy,9/23/2008,Pearle Venneur,Juanita Lecky,5260383.53,2.2,Flipstorm,Thailand,"Ndebele, North",849394.71,TRUE
Girls Against Boys ,Action,10/17/2000,Zollie Cutford,Cornelius Tointon,5938587.95,2.2,Eayo,China,Guarani,473730.03,TRUE
The Adventures of Hercules,Action,4/25/2000,Benyamin Scheffler,Jillayne Anneslie,7294765.82,1.3,Edgeblab,Russia,Occitan (post 1500),991613.45,TRUE
Teddy Bears' Picnic,Action,3/17/2011,Fae Kock,Gerri McCutheon,881440.54,3.2,Realcube,China,Sundanese,334692.42,FALSE
56 Up,Drama,2/23/2004,Isiahi Giddens,Jacquenetta Tanby,3450463.29,9.6,Plambee,China,Breton,749953.99,TRUE
The Vexxer,Action,3/14/2021,Russ Caress,Dagny Gilloran,1884016.88,7.2,Dabtype,Indonesia,Occitan (post 1500),933910.86,TRUE
"Mickey, Donald, Goofy: The Three Musketeers",Drama,7/2/2004,Brooks Shew,Abdel Welbeck,5202547.03,7.8,Zazio,Philippines,Zulu,961503.95,TRUE
"Alley Cats, The",Comedy,12/4/2014,Wyn Scola,Beatrice Clitherow,9869891.11,3.4,Realmix,Tonga,Faroese,152334.12,TRUE
'Salem's Lot,Comedy,12/16/2016,Johnathon Escolme,Alfonse Pogosian,8378651.17,7.5,Voolith,China,Mongolian,37236.51,FALSE
Sinbad: The Fifth Voyage,Drama,4/10/2009,Carlynn Speerman,Nathanial Kleinhaut,1775798.04,9.9,Jabbertype,Colombia,Catalan,582249.33,FALSE
27 Dresses,Comedy,10/25/2012,Titus Smitheman,George Weightman,9358421.78,0.6,Oba,Brazil,Uzbek,448879.06,FALSE
"Last Lions, The",Horror,1/21/2008,Karlens Genery,Reinald Sprowson,3861366.57,3.3,Dablist,Luxembourg,Akan,535273.95,TRUE
Austin High,Sci-Fi,5/14/2021,Arvin Freyn,Morley Redhouse,299814.4,3.5,Brightdog,Vietnam,Norwegian,668501.5,FALSE
"Morning After, The",Action,10/21/2005,Chet Dohmer,Min Eastwell,2658816.3,7.8,Tagchat,China,Swedish,117070.08,TRUE
Man in the Saddle,Action,9/24/2016,Trista Moxstead,Trent Allridge,4468910.88,3.8,Ozu,Comoros,Spanish,523850.9,TRUE
Asier ETA biok,Action,11/30/2006,Hynda Lamcken,Kirstin Freddi,6348475.13,1.5,Wikivu,Ethiopia,Swati,891132.49,TRUE
Freeze Me,Horror,5/12/2004,Tracy Barron,Nathan Studdal,8429410.79,1.5,Npath,Senegal,Bashkir,535686.51,FALSE
Blind Date,Action,3/9/2008,Skell Windle,Iris Keepence,9211839.93,9.9,Babblestorm,Somalia,Catalan,711755.79,TRUE
Circus,Sci-Fi,12/17/2019,Willie Dalloway,Matthus Rilston,3640706.91,2.8,Browseblab,Nigeria,Corsican,477990.78,TRUE
The Little Matchgirl,Action,8/6/2010,Shalom Dunmore,Clarette Hargate,1829169.93,5.2,Browsecat,Ethiopia,"Sotho, Southern",744346.8,TRUE
"Year of Living Vicariously, The",Horror,4/28/2021,Bunni Del Checolo,Modesty Castells,8919392.47,0,Browsecat,United States,Slovak,201343.04,FALSE
Oz the Great and Powerful,Sci-Fi,10/28/2020,Vyky Whitehorn,Madelle Littley,1784045.53,5.1,Katz,China,Western Frisian,741037.34,FALSE
C'mon Man,Comedy,12/30/2019,Eva Skirrow,Lavena Dowthwaite,626148.8,5.2,Nlounge,Portugal,Latin,808417.14,FALSE
Little Lord Fauntleroy,Sci-Fi,11/26/2017,Averyl Boyle,Abba Westrey,2756200.71,4.6,Gigashots,China,Bislama,625383.01,FALSE
Ziggy Stardust and the Spiders from Mars,Horror,3/26/2006,Aloisia Eickhoff,Gladys Cossam,7759824.46,1.3,Realfire,Gambia,Haitian,321116.4,TRUE
Fireflies in the Garden,Drama,11/24/2017,Janela Orehead,Conan Pretsel,1063558.73,7.7,Oyoba,Macedonia,Kongo,906906.6,FALSE
Driving Lessons,Horror,4/30/2009,Noella Knibley,Celie Simonutti,6648933.67,4.4,Skidoo,Indonesia,Tsonga,735610.5,TRUE
Patience (After Sebald),Comedy,12/3/2007,Vivia Milkins,Perrine Madner,9368331.93,1.6,Aimbo,Philippines,Chamorro,316308.92,TRUE
"Phantom, The",Action,6/21/2020,Jinny Penburton,Desiree Workes,2510262.17,5.8,Jabbercube,Peru,Chichewa,680620.77,TRUE
The Forbidden Room,Sci-Fi,4/15/2003,Dilly Crippes,Benedicto Pelosi,7819788.95,1.7,Shufflester,Tunisia,Danish,703211.98,TRUE
He Who Dares,Horror,4/23/2000,Mari Rusk,Symon Egiloff,3658109.03,2,Gigaclub,Argentina,Lithuanian,663987.14,FALSE
Journey to Italy (Viaggio in Italia) (Voyage to Italy) (Voyage in Italy),Sci-Fi,2/1/2016,Burl Aulsford,Kurt Kliment,4607804.39,2.4,Buzzbean,United States,Wolof,104250.62,TRUE
Doubting Thomas,Action,6/4/2000,Kristian Angrave,Sandie Larwood,9612880.54,5.3,Meezzy,Bosnia and Herzegovina,Uzbek,476747.24,FALSE
"Dangerous Method, A",Sci-Fi,7/13/2009,Vida Sisnett,Sascha Pegden,5605427.65,0.8,Avamm,Yemen,Welsh,600648.21,FALSE
Napoléon,Comedy,2/15/2000,Emmett Luten,Chadwick Canet,8218157.46,4.9,Photobug,Honduras,Bengali,756837.46,TRUE
Scatter My Ashes at Bergdorf's,Sci-Fi,3/27/2013,Jacinta Crosetto,Gaspard Bartrap,6957198.72,8.6,Eabox,China,Croatian,949042.42,TRUE
Search for the Beast,Horror,5/27/2015,Anatola O'Longain,Stormie Sausman,3357601.83,7,Jaxbean,Peru,Navajo,53650.18,FALSE
The Sword and the Rose,Drama,5/21/2008,Elyn Guilfoyle,Justinian Cullen,9451915.25,1.2,Yoveo,Sweden,Pushto,282559.51,FALSE
Shock Corridor,Sci-Fi,11/14/2014,Loretta Pengelly,Edita Joslow,1282991.65,1.3,Plambee,Philippines,Amharic,193633.69,TRUE
Rare Exports: A Christmas Tale (Rare Exports),Action,5/6/2006,Joshia Farmloe,Hewie Malster,3931267.63,7.9,Meeveo,United States,Divehi,591109.79,TRUE
"Great Train Robbery, The",Horror,7/28/2001,Addi Thickins,Solly Swigg,4130427.24,8.9,Feedspan,Czech Republic,Tsonga,153379.52,TRUE
Demon Lover Diary,Comedy,3/7/2022,Maura Candey,Marlie Fairbanks,467806.41,9.5,Voolith,China,Icelandic,892140.29,FALSE
Phase 7,Sci-Fi,6/14/2018,Imelda Jizhaki,Angelika Biasio,5068738.79,1.5,Kare,China,Swahili,718577.75,TRUE
Just Go with It,Horror,9/7/2011,Amelia Dyter,Mair Renny,266064.87,1.8,Twitterbeat,France,Tatar,238063.13,TRUE
40 Pounds of Trouble,Horror,12/10/2014,Pete McDarmid,Sibbie Fomichyov,3421340.14,5.1,Riffpedia,Botswana,Somali,105888.91,TRUE
How They Get There,Comedy,8/24/2019,Davide Jirasek,Joyous Leadstone,5032224.1,3.6,Tekfly,Latvia,Quechua,564128.4,FALSE
In Vogue: The Editor?s Eye,Horror,11/21/2010,Yancey Hastler,Shayne Fredy,5884694.46,7.2,Demimbu,Vietnam,Esperanto,410490.67,TRUE
King Corn,Comedy,4/28/2000,Jervis Oxborrow,Konstantin Ajam,3981105.69,6.9,Jabbercube,Indonesia,Venda,627166.34,FALSE
"Four Horsemen of the Apocalypse, The",Sci-Fi,11/17/2000,Dillie Tubbles,Darby Trousdale,9525309.99,7.1,Meemm,Portugal,Kazakh,441412.99,TRUE
Flowers in the Attic,Sci-Fi,2/16/2015,Barb Beamont,Keri Chaimson,1233122.8,7.2,Yodo,Finland,Telugu,380029.93,FALSE
Trick,Drama,12/2/2009,Maribel Formilli,Lanni Whorf,9090912.2,5.1,Zoozzy,Norway,Mongolian,742073.15,FALSE
Butley,Drama,6/15/2020,Reuven Cundy,Jonell MacHarg,3167687.19,4,Realfire,Indonesia,Vietnamese,733448.61,TRUE
"Bakery Girl of Monceau, The (La boulangère de Monceau)",Drama,11/1/2010,Franchot Lamba,Gearard Yarnell,6386409.53,5.6,Twitterbridge,Palestinian Territory,Finnish,231986.92,FALSE
Dead Silence,Horror,6/24/2022,Sofie Pilger,Pinchas Chellam,3895188.44,7,Jayo,Venezuela,Vietnamese,436573.42,TRUE
Dark Island,Drama,1/19/2003,Flori Anthes,Dulcy Gullen,6552440.5,0.4,Jetwire,Indonesia,Armenian,419474.99,FALSE
"Black Power Mixtape 1967-1975, The",Sci-Fi,10/16/2018,Rayner Rosle,Federico Fincher,3301187.33,9.9,Bubbletube,Indonesia,Somali,632476.35,TRUE
"Return of the Pink Panther, The",Drama,1/16/2011,Hurlee Rickcord,Regan Scholcroft,2268648.32,1,Rhybox,Palestinian Territory,Tatar,767271.14,FALSE
Private School,Action,6/15/2017,Casandra Ackery,Albertina Habbergham,3936742.04,2.2,Dabtype,France,Akan,188003.43,FALSE
Thunderpants,Drama,3/26/2012,Merwin Cherry,Emery Lazarus,8021122.7,2.3,Yacero,China,Polish,127835.69,FALSE
Cheeky Girls,Sci-Fi,2/17/2009,Madelene Tuppeny,Hy Worsalls,7632758.85,5.8,Yodel,Maldives,Telugu,587052.03,TRUE
"4th Man, The (Fourth Man, The) (Vierde man, De)",Horror,6/20/2016,Elissa Whylie,Guenevere Hymans,6592545.1,5.9,Skyble,Peru,Abkhazian,574994.89,FALSE
War Dance,Comedy,9/26/2019,Leann Manktelow,Tull Jaquest,2864601.45,4.5,Fadeo,Poland,"Greek, Modern (1453-)",413159.3,TRUE
The Cabin in the Cotton,Action,8/14/2002,Gusty Halshaw,Anna-diane Lonnon,4011130.34,3.8,Rhybox,Mongolia,Interlingua (International Auxiliary Language Association),574852.33,FALSE
Always,Action,11/4/2008,Lanae Hazeley,Benjie MacKee,3160277.56,8.8,Yacero,Greece,Pali,572059.53,TRUE
"10th Kingdom, The",Action,3/28/2014,Allsun Westall,Linus Warcup,3947565.67,6.3,Tagchat,China,Gaelic,909385.03,TRUE
Where the Rivers Flow North,Horror,12/16/2009,Grove Brugemann,Artemus Kays,6745071.48,1.6,Edgepulse,France,Guarani,397162.72,FALSE
Lucky Luke: The Ballad of the Daltons,Comedy,9/11/2003,Ardra Bogges,Lexie Hankinson,2144736.36,9.3,Dynava,China,Marathi,532131.85,TRUE
"Temptations, The",Comedy,10/16/2021,Karolina Guye,Mauricio Cossar,4800225.9,3.7,Youfeed,Portugal,Zulu,433225.5,FALSE
Transformers: The Movie,Comedy,5/10/2004,Gannie Abrahm,Nike Elwill,9526408.58,9.7,Skimia,Sweden,Bambara,204757.92,FALSE
Tall Story,Comedy,8/16/2004,Templeton Gotobed,Arabella Titmarsh,5754544.15,1.5,Flashdog,Pakistan,Bislama,168164.91,FALSE
Annie Get Your Gun,Drama,11/30/2021,Myrah Barrs,Danielle Hultberg,2361870.96,4.1,Jabbertype,Indonesia,Kongo,596713.41,TRUE
Semi-Tough,Action,6/7/2020,Lorilyn Jehaes,Rourke Hoggan,4505533,3.9,Ooba,Greece,Herero,869813.31,TRUE
Dead Presidents,Horror,12/21/2010,Nerti Slocumb,Travers Davey,7340981.87,0.1,Feedmix,Czech Republic,Cornish,589953.1,FALSE
Bringing Down the House,Horror,10/15/2019,Stafani Syder,Lauretta Bruster,5510222.54,4.5,Vimbo,Sweden,Kannada,508422.68,FALSE
All Mine to Give,Sci-Fi,3/30/2017,Demetra Lillywhite,Ronda Attwoull,5813248.12,7.7,Blogpad,Ukraine,Inuktitut,376845.03,TRUE
Peep World,Action,9/14/2019,Benedetta Antrag,Der Gaiger,4135732.37,7.4,Zoovu,Russia,Tamil,516062.98,FALSE
"Brotherhood, The",Drama,10/2/2007,Kariotta Oldfield-Cherry,Glenn Mordon,1644345.3,3.6,Feedbug,Barbados,Georgian,684536.23,FALSE
But I'm a Cheerleader,Action,12/29/2021,Wyatan Parken,Gino Lloyd-Williams,9969853.55,7.3,Eayo,Indonesia,Tatar,232373.68,FALSE
"Serious Man, A",Drama,5/10/2016,Rube Kleeborn,Susette McGeagh,5723384.55,8.4,Demimbu,Argentina,Ewe,463496.93,TRUE
"Well Spent Life, A",Drama,3/1/2005,Rachael Took,Garv O'Kerin,6520516.78,8.5,Skaboo,Brazil,Panjabi,439405.39,TRUE
Control,Drama,11/25/2003,Paxon Bullan,Gilli MacDuffie,7100350.02,2,Skipfire,Brazil,Slovak,257303.44,FALSE
Nobody Lives Forever,Action,1/13/2017,Shoshana Maggs,Odille Ducker,1986483.54,2.2,Zoombeat,Portugal,Lithuanian,572575.34,TRUE
Wuthering Heights,Sci-Fi,6/7/2016,Nikoletta Cuchey,Kevon Jone,4976090.31,4.6,Eazzy,Philippines,Ossetian,631598.43,FALSE
Angel and the Badman,Comedy,11/26/2001,Glenine Foulger,Silvana Carnie,2064403.69,6.2,Feedmix,Morocco,Igbo,854199.87,FALSE
Broken Flowers,Sci-Fi,2/27/2008,Chip Tambling,Charleen Tithecott,7746912.91,6.8,Zoomlounge,Indonesia,Turkish,790462.8,TRUE
"High and the Mighty, The",Action,8/2/2022,Court D'eye,Valentine Doret,3656023.05,4.3,Dabfeed,Tanzania,Breton,794615.83,FALSE
"One-Armed Swordsman, The (Dubei dao)",Drama,1/11/2005,Read Devote,Eugenius Whellams,6418753.11,2.7,Eabox,Vietnam,Gujarati,865772.38,FALSE
Godzilla vs. Mechagodzilla II (Gojira VS Mekagojira),Action,5/9/2005,Wynny York,Kellby Ortega,5376051.53,6.1,Wordpedia,Martinique,Fijian,370916.59,TRUE
Clerks,Action,12/30/2011,Gallard Raffan,Zita Ratlee,5729111.46,7.5,Bluejam,China,Belarusian,636069.38,FALSE
X,Action,11/9/2003,Natal Pottage,Almeda D'Ambrosi,5866182.38,1.1,Gabspot,China,Chinese,461946.83,FALSE
Around the World Under the Sea,Comedy,11/14/2000,Fanni Vanner,Elayne Messingham,7220590.37,4.7,Shuffledrive,Russia,Tsonga,417657.4,TRUE
Bringing Down the House,Action,10/15/2016,Margo Kobera,Obediah Joplin,8303978.61,9.1,Avamba,Albania,Macedonian,462954.33,TRUE
Demetrius and the Gladiators,Comedy,5/15/2005,Shep Sherrin,Miquela Codeman,5820016.08,7,Divape,Indonesia,Chichewa,35504.97,TRUE
"Seduction of Joe Tynan, The",Comedy,8/4/2013,Viviana Purbrick,Addi Grioli,5491317.46,1,Gabvine,Vietnam,Lithuanian,351400.65,FALSE
Wreck-It Ralph,Comedy,7/10/2013,Orelia Alderton,Dorian Sicha,9501361.68,2.1,Avaveo,Croatia,Inupiaq,589148.17,TRUE
Sleep Furiously,Drama,1/7/2013,Asher Haseman,Sondra McGilvray,5207918.25,6,Yabox,Poland,Hebrew,196370.77,FALSE
Vacancy,Comedy,9/24/2022,Alexei Smithson,Micheil Ovenell,248574.52,8.3,Quatz,Indonesia,Inupiaq,477252.14,FALSE
"Little Mermaid, The",Horror,10/16/2021,Dominique Berggren,Karolina Yeeles,6423985.66,8.6,Thoughtbridge,Indonesia,Tsonga,881878.72,TRUE
Cars,Comedy,8/23/2012,Kalindi Webby,Kincaid Surgison,6618907.49,9.2,Linklinks,Ivory Coast,Kalaallisut,279891.62,TRUE
Sextette,Horror,10/7/2019,Danna Duny,Darelle Batters,6635790.74,5.7,Muxo,United States,Maori,580751.91,FALSE
Parenthood,Action,7/25/2008,Wendel Marrison,Desirae Book,8592850.27,9.3,Skyble,France,Pali,142113.56,FALSE
New York Minute,Horror,4/15/2004,Wrennie Garlick,Parnell Sloan,9003928.98,5,Thoughtworks,Czech Republic,Igbo,417335.28,FALSE
Louisiana Story,Drama,4/29/2012,Hyatt Jaqueme,Jocelin Propper,6038689.26,8.8,Blogtags,Czech Republic,Ojibwa,254607.51,FALSE
It Might Get Loud,Horror,3/22/2014,Willdon Godsal,Homerus Tithacott,4413680.58,5.7,Skyvu,Indonesia,Wolof,648261.15,TRUE
"Lathe of Heaven, The",Horror,8/3/2004,Deb MacRanald,Alwin Fawson,978448.62,2.5,Skibox,Sweden,Bambara,968446.87,TRUE
From Dad to Son,Sci-Fi,10/1/2015,Brandon Fante,Elbertina Lince,2205041.3,6.9,Zoomlounge,Brazil,Welsh,197147.18,FALSE
Blaise Pascal,Horror,7/26/2015,Worthy Barr,Meryl Giorgeschi,7511712.94,7,Yakidoo,Russia,Avaric,859670.81,FALSE
